# name	group	country	url
Cricket Gold	AU - Sports	AU	https://i.mjh.nz/.r/cricketgold-fast.m3u8
Cricket Gold	AU - Sports	AU	https://streams2.sofast.tv/scheduler/scheduleMaster/418.m3u8
Cricket Gold	AU - Sports	AU	https://d382r3rgbxdixq.cloudfront.net/scheduler/scheduleMaster/418.m3u8
Cricket Gold (1080p)	AU - Sports	AU	https://streams2.sofast.tv/ptnr-yupptv/title-cricketgold/v1/master/611d79b11b77e2f571934fd80ca1413453772ac7/b2048bb8-1686-4432-aa50-647245383e0c/manifest.m3u8
Sky Racing 1 (720p)	AU - Sports	AU	https://636ffd31f0e12.streamlock.net/RacingStream1/RacingStream1/playlist.m3u8
Sky Racing 2 (720p)	AU - Sports	AU	https://636ffd31f0e12.streamlock.net/RacingStream2/RacingStream2/playlist.m3u8
ausbiz TV (720p) [Not 24/7]	AU - 24/7 Series	AU	https://d9quh89lh7dtw.cloudfront.net/public-output/index.m3u8
Dance Moms 24/7	AU - 24/7 Series	AU	https://i.mjh.nz/.r/dance-moms-247-fast.m3u8
Sky News Extra 2 (540p) [Not 24/7]	AU - 24/7 Series	AU	https://skynewsau-live.akamaized.net/hls/live/2002690/skynewsau-extra2/master.m3u8
Taronga 24/7	AU - 24/7 Series	AU	https://i.mjh.nz/.r/taronga-247-fast.m3u8
The Block 24/7	AU - 24/7 Series	AU	https://i.mjh.nz/.r/the-block-247-fast.m3u8
2GB Sydney (1080p)	AU - News	AU	https://2gblive.akamaized.net/hls/live/2033805/2GB/index.m3u8
3AW Melbourne (1080p)	AU - News	AU	https://3awlive.akamaized.net/hls/live/2032295/3AW/index.m3u8
6PR Perth (1080p)	AU - News	AU	https://6prlive.akamaized.net/hls/live/2033806/6PR/index.m3u8
ABC News	AU - News	AU	https://c.mjh.nz/abc-news.m3u8
ABC News (720p)	AU - News	AU	https://abc-news-dmd-streams-1.akamaized.net/out/v1/701126012d044971b3fa89406a440133/index.m3u8
Al Jazeera	AU - News	AU	https://i.mjh.nz/.r/al-jazeera.m3u8
Bloomberg TV	AU - News	AU	https://i.mjh.nz/.r/bloomberg-tv.m3u8
Channel News Asia (CNA)	AU - News	AU	https://i.mjh.nz/.r/channel-news-asia.m3u8
DW English	AU - News	AU	https://i.mjh.nz/.r/dw-news.m3u8
News24 (1080p)	AU - News	AU	https://skynewsau-live-premium.akamaized.net/hls/live/2105299/skynews/live.m3u8
Sky News Extra 1 (540p)	AU - News	AU	https://skynewsau-live.akamaized.net/hls/live/2002689/skynewsau-extra1/master.m3u8
Sky News Extra 3 (1080p)	AU - News	AU	https://skynewsau-live.akamaized.net/hls/live/2002691/skynewsau-extra3/master.m3u8
