# name	group	country	url
A2 CNN Albania	Albania	AL	https://tv.a2news.com/live/smil:a2cnnweb.stream.smil/playlist.m3u8
ADN TV+ (720p)	Animation	FR	https://d3b73b34o7cvkq.cloudfront.net/v1/master/3722c60a815c199d9c0ef36c5b73da68a62b09d1/cc-gz2sgqzp076kf/adn.m3u8
Animation+ (1080p) [Geo-blocked]	Animation	US	https://pb-ioe9d0fpkd6pp.akamaized.net/playlist.m3u8
Animax Asia India (1080p) [Geo-blocked]	Animation	SG	https://amg02159-kcglobal-amg02159c1-samsung-in-521.playouts.now.amagi.tv/playlist/amg02159-kcglobal-animax-samsungin/playlist.m3u8
ANIME x HIDIVE (720p) [Geo-blocked]	Animation	US	https://d3f088nnrrvkwf.cloudfront.net/v1/amc_anime_x_hidive_1/samsungheadend_us/latest/main/hls/playlist.m3u8
Aniplus Asia (720p)	Animation	SG	https://amg18481-amg18481c1-amgplt0352.playout.now3.amagi.tv/playlist/amg18481-amg18481c1-amgplt0352/playlist.m3u8
Blues TV	Animation	US	https://2-fss-2.streamhoster.com/pl_138/205510-3094608-1/playlist.m3u8
Cartoon Classics	Animation	PL	https://daiconnect.com/live/hls/tvup/rk-cartoonclassics/578f4b7eb725168349ec0af81b21d388/index.m3u8
Crunchyroll (720p)	Animation	US	https://jmp2.uk/plu-65652f7fc0fc88000883537a.m3u8
Daria	Animation	DE	https://jmp2.uk/plu-6683b680efa2a10008e8a393.m3u8
Disney Channel Latin America	Animation	AR	https://streamer.metronethn.com/DisneyChannel/index.m3u8
Disney Jr. Latin America	Animation	AR	http://tr.live.clarovtrcdn.vtrplay.com/disneyjrhdchi/vxfmt=dp/playlist.m3u8?device_profile=STB_HLS_VCAS_LIVE_HD
eSports Max TV	Animation	VE	https://cdnlive.klicgo.net/esportsmax/live/playlist_dvr.m3u8
FAN	Animation	RU	http://stream.mcquack.net/420/index.m3u8
FilmRise Anime (720p)	Animation	US	https://dvu7aia8rjlfm.cloudfront.net/master.m3u8
Gong (1080p)	Animation	FR	https://amg01596-gongnetworks-gong-ono-vh5f2.amagi.tv/1080p-vtt/index.m3u8
Las Tortugas Ninja (720p)	Animation	US	https://jmp2.uk/plu-63dd5d7a4e83e700088fbca8.m3u8
MAX Anime (1080p)	Animation	VE	https://cdnlive.klicgo.net/maxanime/live/playlist.m3u8
Mr Bean Animated	Animation	GB	https://jmp2.uk/plu-69fca9f9b9c0f0d444f631ca.m3u8
Mr Bean Animated	Animation	GB	https://amg00627-amg00627c28-rakuten-uk-3984.playouts.now.amagi.tv/playlist/amg00627-banijayfast-mrbeanukcc-rakutenuk/playlist.m3u8
Mr Bean Animated	Animation	GB	https://amg00627-amg00627c23-samsung-gb-3927.playouts.now.amagi.tv/playlist.m3u8
Mr Bean Animated	Animation	GB	https://d2t1w90tnft92.cloudfront.net/Mr_Bean_Animated.m3u8
Naruto	Animation	US	https://jmp2.uk/plu-5f6df5a173d7340007c559f7.m3u8
Naruto	Animation	US	https://jmp2.uk/plu-5ee92e72fb286e0007285fec.m3u8
Naruto	Animation	US	https://jmp2.uk/plu-5da0c85bd2c9c10009370984.m3u8
Naruto (1080p)	Animation	US	https://d21vn5eki5qsdi.cloudfront.net/playlist.m3u8
Naruto (720p)	Animation	US	https://jmp2.uk/plu-65d5fc39a25d5e00082895c4.m3u8
Naruto Shippuden	Animation	US	https://jmp2.uk/plu-64c92f965580090008084968.m3u8
Naruto Shippuden	Animation	US	https://jmp2.uk/plu-64c92fea3c3344000869e8a9.m3u8
One Piece	Animation	US	https://jmp2.uk/plu-624b1c8d4321e200073ee421.m3u8
One Piece	Animation	US	https://jmp2.uk/plu-62e94ec74823db0007277a8f.m3u8
One Piece	Animation	US	https://jmp2.uk/plu-6380c94947c72b0007ee9a13.m3u8
