stream_id,panel_name,name,country,language,genre,tvg_id,id_via,id_score,tvg_logo,logo_via,guide_sites,unresolved_reason,note
"129","Arena Sport 1 (720p)","Arena Sport 1","BA","","Sports","ArenaSport1.ba","exact","1","https://i.imgur.com/RJrJGbW.png","id","tvprofil.com","",""
"130","Arena Sport 3 BA (1080p)","Arena Sport 3 BA (1080p)","BA","","Sports","","","","","","","no-match",""
"44","BeIN SPORTS XTRA (1080p) [Geo-blocked]","beIN SPORTS XTRA","AU","","Sports","beINSPORTSXTRA.us","exact","1","https://i.ibb.co/HT49GPmB/XTRA-2.png","id","beinsports.com i.mjh.nz plex.tv tvtv.us xumo.tv","",""
"83","Leaderboard Sports News (1080p)","Leaderboard Sports News (1080p)","AU","","Sports","","","","","","","no-match",""
"31","3 Tamil TV (720p) [Not 24/7]","3 Tamil TV","AU","","24/7 Series","3TamilTV.au","exact","1","https://yt3.googleusercontent.com/ytc/AIdro_nZG4BRWT5t0eCtM-SFVh0JMexLekw0evo-J4_S8Bw3YA=s512-c-k-c0x00ffffff-no-rj","id","","",""
"16","Klasik TV (576p) [Not 24/7]","Klasik","HR","","24/7 Series","Klasik.hr","exact","1","https://i.imgur.com/C90BYlb.png","id","neo.io tv.magenta.at tv2go.t-2.net tvprofil.com","",""
"136","Malta (720p) [Not 24/7]","Malta (720p) [Not 24 7]","BA","","24/7 Series","","","","","","","no-match",""
"18","OTV (720p) [Not 24/7]","OTV","HR","","24/7 Series","OTV.hr","exact","1","https://i.imgur.com/67zVdu2.png","id","tv2go.t-2.net","",""
"21","Radio Televizija Banovina (1080p) [Not 24/7]","Radio Televizija Banovina","HR","","24/7 Series","RadioTelevizijaBanovina.hr","exact","1","https://i.imgur.com/gCFgC5D.png","id","","",""
"148","RTRS Plus (576p) [Not 24/7]","RTRS plus","BA","","24/7 Series","RTRSplus.ba","exact","1","https://i.imgur.com/k06WvYl.png","id","tv.blue.ch tvprofil.com","",""
"149","RTRS TV (576p) [Not 24/7]","RTRS TV","BA","","24/7 Series","RTRSTV.ba","exact","1","https://i.imgur.com/2Sgs5gM.png","id","neo.io tv.blue.ch tv2go.t-2.net","",""
"22","SBTV (1080p) [Not 24/7]","SBTV","HR","","24/7 Series","SBTV.hr","exact","1","https://i.imgur.com/MIampxZ.png","id","","",""
"23","TV Jadran (720p) [Not 24/7]","TV Jadran","HR","","24/7 Series","TVJadran.hr","exact","1","https://i.imgur.com/UWMHnOG.png","id","neo.io tv2go.t-2.net","",""
"153","TV Slon Extra (1080p) [Not 24/7]","TV Slon Extra","BA","","24/7 Series","TVSlonExtra.ba","exact","1","https://i.imgur.com/AohYgH1.png","id","ipko.tv neo.io tv2go.t-2.net","",""
"25","TV Zapad (1080p) [Not 24/7]","TV Zapad","HR","","24/7 Series","TVZapad.hr","exact","1","https://i.imgur.com/cgCeX12.png","id","","",""
"26","TV Zapad (1080p) [Not 24/7]","TV Zapad","HR","","24/7 Series","TVZapad.hr","exact","1","https://i.imgur.com/cgCeX12.png","id","","",""
"127","Al Jazeera Balkans (1080p)","Al Jazeera Balkans (1080p)","BA","","News","","","","","","","no-match",""
"128","Al Jazeera Balkans (1080p)","Al Jazeera Balkans (1080p)","BA","","News","","","","","","","no-match",""
"41","BBC News Asia Pacific (720p)","BBC News Asia Pacific (720p)","","","News","","","","https://i.imgur.com/REuN9RR.png","given","","no-match",""
"42","BBC News Asia Pacific (720p)","BBC News Asia Pacific (720p)","","","News","","","","https://i.imgur.com/REuN9RR.png","given","","no-match",""
"46","Breaking News by LeadStory (1080p)","Breaking News By Lead Story (1080p)","AU","","News","","","","","","","no-match",""
"47","CTB Perth News (720p)","CTB Perth News (720p)","AU","","News","","","","","","","no-match",""
"61","Euronews French HD","Euronews French","AU","","News","EuronewsFrench.fr","exact","1","https://i.imgur.com/8t9mdg9.png","given","canalplus.com chaines-tv.orange.fr i.mjh.nz pickx.be plex.tv programme-tv.net teleboy.ch telenet.tv tv-programme.telecablesat.fr tv.blue.ch tv.post.lu tv.sfr.fr tvcesoir.fr tvpassport.com tvtv.us watch.whaletvplus.com","",""
"68","GB News (1080p)","GB News","AU","","News","GBNews.uk","exact","1","https://upload.wikimedia.org/wikipedia/en/thumb/3/35/GB_News_Logo.svg/960px-GB_News_Logo.svg.png","id","freeview.co.uk i.mjh.nz mytelly.co.uk player.ee.co.uk plex.tv sky.com tv.blue.ch tv24.co.uk tvireland.ie virgintvgo.virginmedia.com","",""
"145","N1 BIH","N1","BA","","News","N1.ba","exact","1","https://www.lyngsat.com/logo/tv/nn/n1_rs.png","given","tvprofil.com","",""
