# stream_id	name	genre	country	tvg_id	logo
129	Arena Sport 1	Sports	BA	ArenaSport1.ba	logo
130	Arena Sport 3 BA (1080p)	Sports	BA	-	-
44	beIN SPORTS XTRA	Sports	AU	beINSPORTSXTRA.us	logo
83	Leaderboard Sports News (1080p)	Sports	AU	-	-
31	3 Tamil TV	24/7 Series	AU	3TamilTV.au	logo
16	Klasik	24/7 Series	HR	Klasik.hr	logo
136	Malta (720p) [Not 24 7]	24/7 Series	BA	-	-
18	OTV	24/7 Series	HR	OTV.hr	logo
21	Radio Televizija Banovina	24/7 Series	HR	RadioTelevizijaBanovina.hr	logo
148	RTRS plus	24/7 Series	BA	RTRSplus.ba	logo
149	RTRS TV	24/7 Series	BA	RTRSTV.ba	logo
22	SBTV	24/7 Series	HR	SBTV.hr	logo
23	TV Jadran	24/7 Series	HR	TVJadran.hr	logo
153	TV Slon Extra	24/7 Series	BA	TVSlonExtra.ba	logo
25	TV Zapad	24/7 Series	HR	TVZapad.hr	logo
26	TV Zapad	24/7 Series	HR	TVZapad.hr	logo
127	Al Jazeera Balkans (1080p)	News	BA	-	-
128	Al Jazeera Balkans (1080p)	News	BA	-	-
41	BBC News Asia Pacific (720p)	News		-	logo
42	BBC News Asia Pacific (720p)	News		-	logo
46	Breaking News By Lead Story (1080p)	News	AU	-	-
47	CTB Perth News (720p)	News	AU	-	-
61	Euronews French	News	AU	EuronewsFrench.fr	logo
68	GB News	News	AU	GBNews.uk	logo
145	N1	News	BA	N1.ba	logo
73	History And Warfare Now (1080p)	Documentary	AU	-	-
97	PBS Antiques Road Trip (1080p)	Documentary	AU	-	-
98	PBS History (1080p)	Documentary	AU	-	-
99	PBS Science (1080p)	Documentary	AU	-	-
1	Bravo! Kids TV	Reality	HR	BravoKidsTV.hr	logo
2	Bravo! Kids TV	Reality	HR	BravoKidsTV.hr	logo
3	Bravo! TV	Reality	HR	BravoTV.hr	logo
152	TNT Kids TV	Kids	BA	TNTKidsTV.ba	logo
111	Shalom World Australia (1080p)	Religion	AU	-	logo
112	Shalom World Prayer	Religion	AU	ShalomWorldPrayer.us	logo
116	TBN Inspire	Religion	AU	TBNInspire.us	logo
39	Action Hollywood Movies (1080p)	Movies	AU	-	-
49	CTB Perth Movies Channel	Movies	AU	CTBPerthMoviesChannel.au	logo
89	My Time Movie Network (1080p)	Movies	AU	-	logo
65	Folk Klub TV	Music	AU	FolkKlubTV.au	logo
77	INTV Australia	Music	AU	INTVAustralia.au	logo
192	TV Arberia Retro Hits	Music	XK	TVArberiaRetroHits.xk	logo
27	10 Bold	Entertainment	AU	10Bold.au	logo
28	10 Bold Adelaide (1080p)	Entertainment	AU	-	-
29	10 Peach	Entertainment	AU	10Peach.au	logo
156	21 Junior	Entertainment	XK	21Junior.xk	logo
157	21 Mix	Entertainment	XK	21Mix.xk	logo
158	21 Plus	Entertainment	XK	21Plus.xk	logo
159	21 Popullore	Entertainment	XK	21Popullore.xk	logo
30	3AW Melbourne (1080p)	Entertainment	AU	-	-
32	8 Out Of 10 Cats	Entertainment	AU	8OutOf10Cats.uk	logo
34	9Gem	Entertainment	AU	9Gem.au	logo
33	9Go!	Entertainment	AU	9Go.au	logo
35	9Life	Entertainment	AU	9Life.au	logo
36	9Rush	Entertainment	AU	9Rush.au	logo
37	ABC Australia	Entertainment	AU	ABCAustralia.au	logo
38	ABC Australia Vietnam (1080p)	Entertainment	AU	-	-
40	Anger Management Channel	Entertainment	AU	AngerManagementChannel.us	logo
160	ATV	Entertainment	XK	ATV.xk	logo
43	Baywatch	Entertainment	AU	Baywatch.us	logo
131	BHT 1	Entertainment	BA	BHT1.ba	logo
132	BN TV	Entertainment	BA	BNTV.ba	logo
45	Bondi Vet (720p)	Entertainment	AU	-	-
51	10	Entertainment	AU	10.au	logo
50	Channel 7	Entertainment	AU	Channel7.au	logo
52	Channel 9 Adelaide (720p) [Geo Blocked]	Entertainment	AU	-	-
53	Channel 9 Brisbane (720p) [Geo Blocked]	Entertainment	AU	-	-
54	Channel 9 Melbourne (720p) [Geo Blocked]	Entertainment	AU	-	-
55	Channel 9 Melbourne (720p) [Geo Blocked]	Entertainment	AU	-	logo
56	Channel 9 Perth (720p) [Geo Blocked]	Entertainment	AU	-	-
57	Channel 9 Sydney (720p) [Geo Blocked]	Entertainment	AU	-	-
58	Channel 9 Sydney (720p) [Geo Blocked]	Entertainment	AU	-	logo
6	CMC TV	Entertainment	HR	CMCTV.hr	logo
48	CTB Perth	Entertainment	AU	CTBPerth.au	logo
59	Deal or No Deal	Entertainment	AU	DealorNoDeal.us	logo
4	Diadora TV	Entertainment	HR	DiadoraTV.hr	logo
60	Don't Tell The Bride	Entertainment	AU	DontTellTheBride.uk	logo
62	Dry Bar Comedy (720p)	Entertainment	AU	-	-
5	Extra TV	Entertainment	HR	ExtraTV.hr	logo
7	Extra TV	Entertainment	HR	ExtraTV.hr	logo
63	Failarmy International (720p)	Entertainment	AU	-	-
64	Fear Factor	Entertainment	AU	FearFactor.us	logo
66	Four In A Bed (720p)	Entertainment	AU	-	-
67	FUEL TV	Entertainment	AU	FUELTV.pt	logo
69	Ghost Hunters	Entertainment	AU	GhostHunters.us	logo
70	HauntTV	Entertainment	AU	HauntTV.ca	logo
71	Hell's Kitchen	Entertainment	AU	HellsKitchen.us	logo
72	Highway Thru Hell (1080p)	Entertainment	AU	-	-
74	Homeful	Entertainment	AU	Homeful.ca	logo
75	Homes Under The Hammer (720p)	Entertainment	AU	-	-
8	HRT 1	Entertainment	HR	HRT1.hr	logo
9	HRT 1	Entertainment	HR	HRT1.hr	logo
10	HRT 2	Entertainment	HR	HRT2.hr	logo
11	HRT 2	Entertainment	HR	HRT2.hr	logo
12	HRT 3	Entertainment	HR	HRT3.hr	logo
13	HRT 3	Entertainment	HR	HRT3.hr	logo
14	HRT 4	Entertainment	HR	HRT4.hr	logo
80	Indo Oz TV	Entertainment	AU	IndoOzTV.au	logo
76	INFAST	Entertainment	AU	INFAST.nl	logo
81	Inside Outside (720p)	Entertainment	AU	-	-
79	InWonder	Entertainment	AU	InWonder.nl	logo
161	Istogu Channel	Entertainment	XK	IstoguChannel.xk	logo
78	ITV Choice (1080p) [Geo Blocked]	Entertainment	AU	-	-
133	JEKA	Entertainment	BA	JEKA.rs	logo
162	Kanal 10	Entertainment	XK	Kanal10.xk	logo
134	Kanal 6	Entertainment	BA	Kanal6.ba	logo
82	Kartoon Channel!	Entertainment	AU	KartoonChannel.us	logo
15	Klape i Tambure TV	Entertainment	HR	KlapeiTambureTV.hr	logo
163	Kohavision	Entertainment	XK	Kohavision.xk	logo
164	Kohavision	Entertainment	XK	Kohavision.xk	logo
165	Kohavision	Entertainment	XK	Kohavision.xk	logo
17	Libertas TV	Entertainment	HR	LibertasTV.hr	logo
84	Life Downunder (720p)	Entertainment	AU	-	-
86	MagellanTV Now	Entertainment	AU	MagellanTVNow.us	logo
137	Maria+Vision Medjugorje	Entertainment	BA	MariaPlusVisionMedjugorje.ba	logo
87	MovieSphere	Entertainment	AU	MovieSphere.us	logo
88	Mr Bean Animated	Entertainment	AU	MrBeanAnimated.uk	logo
85	MTRSPT1	Entertainment	AU	MTRSPT1.us	logo
135	MUZZIK	Entertainment	BA	MUZZIK.rs	logo
138	FLASHBACK	Entertainment	BA	FLASHBACK.rs	logo
139	MOBA	Entertainment	BA	MOBA.rs	logo
140	POP STAR	Entertainment	BA	POPSTAR.rs	logo
141	Rock&Roll	Entertainment	BA	RockRoll.rs	logo
142	SENSE	Entertainment	BA	SENSE.rs	logo
143	TIKTAK	Entertainment	BA	TIKTAK.rs	logo
144	Muzzik ZZ TV (720p)	Entertainment	BA	-	-
90	Mythbusters	Entertainment	AU	Mythbusters.us	logo
91	Nosey (1080p)	Entertainment	AU	-	logo
92	Nosey (1080p)	Entertainment	AU	-	logo
147	Nova TV	Entertainment	BA	NovaTV.ba	logo
93	Now 70s	Entertainment	AU	Now70s.uk	logo
94	Now 80s	Entertainment	AU	Now80s.uk	logo
