stream_id,panel_name,name,country,language,genre,tvg_id,id_via,id_score,tvg_logo,logo_via,guide_sites,unresolved_reason,note
"1743898",": NWSL Alt @ Jul 26 6:54 PM :Victory+  02",": Nwsl Alt @ Jul 26 6:54 PM :Victory+ 02","US","","PPV / Main Events","","","","https://media.chl.ca/wp-content/uploads/sites/48/2025/04/10160347/Victory.png","given","","no-match",""
"1743897",": NWSL: Washington Spirit vs Denver Summit @ Jul 26 6:54 PM :Victory+  01",": Nwsl: Washington Spirit Vs Denver Summit @ Jul 26 6:54 PM :Victory+ 01","US","","PPV / Main Events","","","","https://media.chl.ca/wp-content/uploads/sites/48/2025/04/10160347/Victory.png","given","","no-match",""
"253729",":Peacock Event  04",":Peacock Event 04","US","","PPV / Main Events","","","","http://138.199.27.237:8080/USA/PEACOCK.png","given","","no-match",""
"253730",":Peacock Event  05",":Peacock Event 05","US","","PPV / Main Events","","","","http://138.199.27.237:8080/USA/PEACOCK.png","given","","no-match",""
"253731",":Peacock Event  06",":Peacock Event 06","US","","PPV / Main Events","","","","http://138.199.27.237:8080/USA/PEACOCK.png","given","","no-match",""
"253732",":Peacock Event  07",":Peacock Event 07","US","","PPV / Main Events","","","","http://138.199.27.237:8080/USA/PEACOCK.png","given","","no-match",""
"253733",":Peacock Event  08",":Peacock Event 08","US","","PPV / Main Events","","","","http://138.199.27.237:8080/USA/PEACOCK.png","given","","no-match",""
"253734",":Peacock Event  09",":Peacock Event 09","US","","PPV / Main Events","","","","http://138.199.27.237:8080/USA/PEACOCK.png","given","","no-match",""
"253735",":Peacock Event  10",":Peacock Event 10","US","","PPV / Main Events","","","","http://138.199.27.237:8080/USA/PEACOCK.png","given","","no-match",""
"253736",":Peacock Event  11",":Peacock Event 11","US","","PPV / Main Events","","","","http://138.199.27.237:8080/USA/PEACOCK.png","given","","no-match",""
"253737",":Peacock Event  12",":Peacock Event 12","US","","PPV / Main Events","","","","http://138.199.27.237:8080/USA/PEACOCK.png","given","","no-match",""
"253738",":Peacock Event  13",":Peacock Event 13","US","","PPV / Main Events","","","","http://138.199.27.237:8080/USA/PEACOCK.png","given","","no-match",""
"1529945",":Peacock Event  14",":Peacock Event 14","US","","PPV / Main Events","","","","http://138.199.27.237:8080/USA/PEACOCK.png","given","","no-match",""
"1529946",":Peacock Event  15",":Peacock Event 15","US","","PPV / Main Events","","","","http://138.199.27.237:8080/USA/PEACOCK.png","given","","no-match",""
"1529947",":Peacock Event  16",":Peacock Event 16","US","","PPV / Main Events","","","","http://138.199.27.237:8080/USA/PEACOCK.png","given","","no-match",""
"1529948",":Peacock Event  17",":Peacock Event 17","US","","PPV / Main Events","","","","http://138.199.27.237:8080/USA/PEACOCK.png","given","","no-match",""
"1529949",":Peacock Event  18",":Peacock Event 18","US","","PPV / Main Events","","","","http://138.199.27.237:8080/USA/PEACOCK.png","given","","no-match",""
"1529950",":Peacock Event  19",":Peacock Event 19","US","","PPV / Main Events","","","","http://138.199.27.237:8080/USA/PEACOCK.png","given","","no-match",""
"1529951",":Peacock Event  20",":Peacock Event 20","US","","PPV / Main Events","","","","http://138.199.27.237:8080/USA/PEACOCK.png","given","","no-match",""
"2021689",":Tennis  25",":Tennis 25","US","","PPV / Main Events","","","","http://138.199.27.237:8080/USA/TENNISCHANNELPLUS.png","given","","no-match",""
"2021688",":Tennis  26",":Tennis 26","US","","PPV / Main Events","","","","http://138.199.27.237:8080/USA/TENNISCHANNELPLUS.png","given","","no-match",""
