# line name	matched via	public name	url
SEVEN FLIX	id	7flix	https://i.mjh.nz/.r/7flix-syd.m3u8
SEVEN MATE	id	7mate	https://i.mjh.nz/.r/7mate-syd.m3u8
SEVENFLIX	id	7flix	https://i.mjh.nz/.r/7flix-syd.m3u8
ABC KIDS	id	ABC Kids	https://c.mjh.nz/abc-kids.m3u8
ABC ONE ᴴᴰ	id	ABC TV ACT (720p)	https://c.mjh.nz/abc-act.m3u8
BLOOMBERG TV ASIA LIVE EVENT ᴴᴰ	name	Bloomberg TV Asia Live Event (720p)	https://bloomberg.com/media-manifest/streams/asia-event.m3u8
NINE	name	Nine	https://i.mjh.nz/.r/channel-9-nsw.m3u8
CHANNEL NINE	name	Nine	https://i.mjh.nz/.r/channel-9-nsw.m3u8
OUTDOOR CHANNEL ᴴᴰ	name	Outdoor Channel	https://cdn-apse1-prod.tsv2.amagi.tv/linear/amg00718-outdoorchannela-outdoortvnz-samsungnz/playlist.m3u8
OUTDOOR CHANNEL ᵁᴴᴰ	name	Outdoor Channel	https://cdn-apse1-prod.tsv2.amagi.tv/linear/amg00718-outdoorchannela-outdoortvnz-samsungnz/playlist.m3u8
SKY RACING 1	id	Sky Racing 1 (720p)	https://636ffd31f0e12.streamlock.net/RacingStream1/RacingStream1/playlist.m3u8
SKY RACING 2	id	Sky Racing 2 (720p)	https://636ffd31f0e12.streamlock.net/RacingStream2/RacingStream2/playlist.m3u8
TVSN	id	TVSN (1080p)	https://tvsnhlslivetest.akamaized.net/hls/live/2034711/TVSN-MSL4/master.m3u8
WONDER ᴴᴰ	name	Wonder	https://lds-wonder-samsungau.amagi.tv/playlist.m3u8
|TR| TRT ᵁᴴᴰ UHD/HDR	id	TRT Türk (720p)	https://tv-trtturk.medya.trt.com.tr/master.m3u8
BLOOMBERG ᴴᴰ	name	Bloomberg TV	https://jmp2.uk/plu-62b976b93279cb000772c6f9.m3u8
CHANNEL 5	name	Беларусь 5	https://edge55.dc.beltelecom.by/ngtrk/smil:belarus5.smil/playlist.m3u8
CHANNEL 5 ᴴᴰ	name	Беларусь 5	https://edge55.dc.beltelecom.by/ngtrk/smil:belarus5.smil/playlist.m3u8
COMEDY CENTRAL	name	Comedy Central	https://jmp2.uk/plu-61c0b550e0d3a700072b6a2a.m3u8
DISCOVERY	name	Discovery Channel	https://streaming.aurora.enhanced.live/live/mpc/enl0eG1mLmVncmVzcy5mZDJ2eHI=/out/v1/IT_SIMULCAST/DISCOVERYCHANNEL/CMAF/index.m3u8
EDEN ᴴᴰ	name	Eden TV (540p) [Not 24/7]	https://rtmp.edentv.bj/hls/stream.m3u8
FILM4	name	Film4	http://88.212.15.19/live/film4_hun/index.m3u8
FILM 4 ᴴᴰ	name	Film4	http://88.212.15.19/live/film4_hun/index.m3u8
HGTV	name	HGTV (1080p)	https://i.mjh.nz/.r/sky-hgtv.m3u8
HORROR CHANNEL	name	Horror TV (1080p)	https://streams2.sofast.tv/v1/master/611d79b11b77e2f571934fd80ca1413453772ac7/93dc292b-cbcf-4988-ab97-94feced4c14b/manifest.m3u8
ITV ᴴᴰ	name	iTV HD	https://ip.pdtvhd.com/Khmer/streams/ITVHD.m3u8
KISS	name	Kiss TV (1080p)	https://tv.broadcasting.ro/kisstv/a629c031-2170-4ee9-a36d-87a891aa3131.m3u8
NICKTOONS	name	Nicktoons	http://88.212.15.19/live/test_nicktoons/playlist.m3u8
POP	id	Pop	https://cdn-uw2-prod.tsv2.amagi.tv/linear/amg01753-narrativeentert-popkids-lggb/playlist.m3u8
RTE ONE ᴴᴰ	name	RTÉ One	https://live.rte.ie/live/a/channel1/channel1.isml/channel1.m3u8
STV	name	STV (360p)	https://vodcdn.bamboo-cloud.com/livehls/6a81edf1063044437202e65c/master.m3u8
STV ᴴᴰ	name	STV (360p)	https://vodcdn.bamboo-cloud.com/livehls/6a81edf1063044437202e65c/master.m3u8
SYFY ᴴᴰ	name	SYFY	http://tvsen7.aynascope.net/syfy/index.m3u8
TG4	name	TG4 (1080p)	https://fastly.live.brightcove.com/6384196213112/eu-west-1/1555966122001/eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJob3N0IjoieDl2YzlnLmVncmVzcy55ODN1ZWIiLCJhY2NvdW50X2lkIjoiMTU1NTk2NjEyMjAwMSIsImVobiI6ImZhc3RseS5saXZlLmJyaWdodGNvdmUuY29tIiwiaXNzIjoiYmxpdmUtcGxheWJhY2stc291cmNlLWFwaSIsInN1YiI6InBhdGhtYXB0b2tlbiIsImF1ZCI6WyIxNTU1OTY2MTIyMDAxIl0sImp0aSI6IjYzODQxOTYyMTMxMTIifQ.Co2xR3kmJBoxTaFTpwU0b37lJ05vNt-y32-SwfM26EA/chunklist.m3u8
TINY POP	id	Tiny Pop	https://amg01753-narrativeuk-amg01753c1-lg-gb-1830.playouts.now.amagi.tv/ts-us-e2-n2/playlist/amg01753-narrativeuk-tinypop-lggb/playlist.m3u8
UTV	name	ÚTV (1080p)	https://vysilani.zaktv.cz/broadcast/hls/utv/index.m3u8
UTV ᴴᴰ	name	ÚTV (1080p)	https://vysilani.zaktv.cz/broadcast/hls/utv/index.m3u8
|UK|  POP	id	Pop	https://cdn-uw2-prod.tsv2.amagi.tv/linear/amg01753-narrativeentert-popkids-lggb/playlist.m3u8
|UK| TINY POP	id	Tiny Pop	https://amg01753-narrativeuk-amg01753c1-lg-gb-1830.playouts.now.amagi.tv/ts-us-e2-n2/playlist/amg01753-narrativeuk-tinypop-lggb/playlist.m3u8
1	name	Беларусь 1	https://edge55.dc.beltelecom.by/ngtrk/smil:belarus1.smil/playlist.m3u8
BBC NEWS ᵁᴴᴰ	id	BBC News	https://vs-hls-push-ww-live.akamaized.net/x=4/i=urn:bbc:pips:service:bbc_news_channel_hd/mobile_wifi_main_hd_abr_v2.m3u8
|UK| BBC NEWS ᵁᴴᴰ	id	BBC News	https://vs-hls-push-ww-live.akamaized.net/x=4/i=urn:bbc:pips:service:bbc_news_channel_hd/mobile_wifi_main_hd_abr_v2.m3u8
BBC NEWS ᴴᴰ	id	BBC News	https://vs-hls-push-ww-live.akamaized.net/x=4/i=urn:bbc:pips:service:bbc_news_channel_hd/mobile_wifi_main_hd_abr_v2.m3u8
CBS NEWS	id	CBS News	https://dai.google.com/linear/hls/event/Sid4xiTQTkCT1SLu6rjUSQ/master.m3u8
