stream_id,panel_name,name,country,language,genre,tvg_id,id_via,id_score,tvg_logo,logo_via,guide_sites,unresolved_reason,note
"89","AD-Sports1","Abu Dhabi Sports 1","AE","","Sports","AbuDhabiSports1.ae","exact","1","https://i.imgur.com/6BVWk8z.png","id","osn.com sat.tv","",""
"114","AD-SPORTS2","Abu Dhabi Sports 2","AE","","Sports","AbuDhabiSports2.ae","exact","1","https://i.imgur.com/y1I2jFK.png","id","sat.tv","",""
"90","AD-Sports3","Abu Dhabi Sports 3","AE","","Sports","AbuDhabiSports3.ae","exact","1","https://i.imgur.com/LfBQkeq.png","id","","",""
"73","Alkas-1","Alkass One","QA","","Sports","AlkassOne.qa","exact","1","https://i.imgur.com/10mmlha.png","id","bein.com sat.tv","",""
"405","Alkas-2","Alkass Two","QA","","Sports","AlkassTwo.qa","exact","1","https://i.imgur.com/8w61kFX.png","id","bein.com sat.tv","",""
"104","Alkas-3","Alkass Three","QA","","Sports","AlkassThree.qa","exact","1","https://i.imgur.com/d57BdFh.png","id","bein.com","",""
"315","Alkas-4","Alkass Four","QA","","Sports","AlkassFour.qa","exact","1","https://i.imgur.com/iDL65Wu.png","id","bein.com","",""
"293","BeinSport-Sd1","beIN Sports 1","QA","","Sports","beINSports1.qa","exact","1","https://i.imgur.com/Vtk2cGI.png","id","beinsports.com canalplus.com chaines-tv.orange.fr epg.iptvx.one mncvision.id nowplayer.now.com programme-tv.net tivie.id tv-programme.telecablesat.fr tv.sfr.fr tv.trueid.net tvcesoir.fr vidio.com visionplus.id","",""
"302","BeinSport-Sd10","Bein Sport Sd 10","QA","","Sports","","","","https://i.imgur.com/lVB4Ao9.png","name","","no-match","The catalog carries beIN Sports 1-8; there is no 10."
"294","BeinSport-Sd2","beIN Sports 2","QA","","Sports","beINSports2.qa","exact","1","https://i.imgur.com/vUJZSvs.png","id","bein.com beinsports.com canalplus.com chaines-tv.orange.fr content.astro.com.my epg.iptvx.one mncvision.id nowplayer.now.com programme-tv.net singtel.com starhubtvplus.com tivie.id tv-programme.telecablesat.fr tv.sfr.fr tv.trueid.net tvcesoir.fr vidio.com visionplus.id","",""
