# stream_id	name	genre	country	tvg_id	logo
89	Abu Dhabi Sports 1	Sports	AE	AbuDhabiSports1.ae	logo
114	Abu Dhabi Sports 2	Sports	AE	AbuDhabiSports2.ae	logo
90	Abu Dhabi Sports 3	Sports	AE	AbuDhabiSports3.ae	logo
73	Alkass One	Sports	QA	AlkassOne.qa	logo
405	Alkass Two	Sports	QA	AlkassTwo.qa	logo
104	Alkass Three	Sports	QA	AlkassThree.qa	logo
315	Alkass Four	Sports	QA	AlkassFour.qa	logo
293	beIN Sports 1	Sports	QA	beINSports1.qa	logo
302	Bein Sport Sd 10	Sports	QA	-	logo
294	beIN Sports 2	Sports	QA	beINSports2.qa	logo
295	beIN Sports 3	Sports	QA	beINSports3.qa	logo
296	beIN Sports 4	Sports	QA	beINSports4.qa	logo
297	beIN Sports 5	Sports	QA	beINSports5.qa	logo
298	beIN Sports 6	Sports	QA	beINSports6.qa	logo
299	beIN Sports 7	Sports	QA	beINSports7.qa	logo
300	beIN Sports 8	Sports	QA	beINSports8.qa	logo
301	Bein Sport Sd 9	Sports	QA	-	logo
16	beIN Sports French 1	Sports	QA	beINSportsFrench1.qa	logo
17	beIN Sports French 2	Sports	QA	beINSportsFrench2.qa	logo
566	beIN Sports French 3	Sports	QA	beINSportsFrench3.qa	logo
646	Dubai Sports 3	Sports	AE	DubaiSports3.ae	logo
647	Dubai Sport 4	Sports	AE	-	-
648	Dubai Sports 1	Sports	AE	DubaiSports1.ae	logo
575	Bein Sport 11	Sports	QA	-	-
577	Bein Sport 12	Sports	QA	-	-
149	Eurosport 1	Sports		-	logo
357	Eurosport Eng	Sports		-	-
150	Eurosport 1	Sports	FR	Eurosport1.fr	logo
632	Bein Sport 13	Sports	QA	-	-
633	Bein Sport 14	Sports	QA	-	-
634	Bein Sport 15	Sports	QA	-	-
635	Bein Sport 16	Sports	QA	-	-
148	Al Iraqia Sport	Sports	IQ	AlIraqiaSport.iq	logo
346	Jordan Sport	Sports	JO	JordanSport.jo	logo
40	MBC Pro Sports 1	Sports	SA	-	-
39	MBC Pro Sports 2	Sports	SA	-	-
625	OSN Fight HD	Sports	AE	-	-
127	Sharjah Sports	Sports	AE	SharjahSports.ae	logo
443	Sky Sport 1	Sports		-	logo
72	Al Hadath	News	SA	AlHadath.sa	logo
87	Al Jazeera	News	QA	AlJazeera.qa	logo
71	Alarabiya	News	AE	Alarabiya.ae	logo
88	Al Jazeera Mubasher	News	QA	AlJazeeraMubasher.qa	logo
155	ANN News	News	SY	-	-
450	RT Arabic	News	RU	RTArabic.ru	logo
442	RT	News	RU	RT.ru	logo
396	Al Sharqiya News	News	IQ	AlSharqiyaNews.iq	logo
102	Alikhbaria Syria	News	SY	AlikhbariaSyria.sy	logo
91	Animal Planet	Documentary		-	logo
124	Discovery Ch	Documentary		-	-
82	National Geographic Abu Dhabi	Documentary	AE	NationalGeographicAbuDhabi.ae	logo
626	OSN Natgeowild	Documentary	AE	-	-
146	Ajyal TV	Kids	PS	AjyalTV.ps	logo
54	Baraem	Kids	QA	Baraem.qa	logo
68	Cartoon Network Arabic	Kids	AE	CartoonNetworkArabic.ae	logo
119	JeemTV	Kids	QA	JeemTV.qa	logo
627	Kids Movie 1	Kids		-	-
639	Kids Movie 2	Kids		-	-
640	Kids Movie 3	Kids		-	-
641	Kids Movie 4	Kids		-	-
421	Al-Majd Kids	Kids	SA	AlMajdKids.sa	logo
404	OSN Disney	Kids	AE	-	-
624	OSN Movie Kids	Kids	AE	-	-
80	Spacetoon Arabic	Kids	AE	SpacetoonArabic.ae	logo
437	Toyor Al-Jannah	Kids	JO	ToyorAlJannah.jo	logo
444	Al-Majd Public Channel	Religion	SA	AlMajdPublicChannel.sa	logo
147	Elnas TV	Religion	EG	ElnasTV.eg	logo
425	Al-Majd Holy Quran	Religion	SA	AlMajdHolyQuran.sa	logo
115	Iqraa Arabic	Religion	SA	IqraaArabic.sa	logo
107	Makkah TV	Religion	SA	MakkahTV.sa	logo
629	Quran Alfateh	Religion		-	-
628	Quran TV	Religion		-	logo
446	Al Quran Al Kareem TV	Religion	SA	AlQuranAlKareemTV.sa	logo
393	Zitouna TV	Religion	TN	ZitounaTV.tn	logo
33	ART Aflam 1	Movies	SA	ARTAflam1.sa	logo
32	ART Aflam 2	Movies	SA	ARTAflam2.sa	logo
76	ART Cinema	Movies	SA	ARTCinema.sa	logo
387	beIN Movies 1 Premiere	Movies	QA	beINMovies1Premiere.qa	logo
343	beIN Movies 2 Action	Movies	QA	beINMovies2Action.qa	logo
534	beIN Movies 3 Drama	Movies	QA	beINMovies3Drama.qa	logo
440	LCD Aflam	Movies		-	-
95	Nile Cinema	Movies	EG	NileCinema.eg	logo
403	OSN Cinma 2	Movies	AE	-	-
399	OSN Box Office	Movies	AE	-	-
109	OSN Box Office 1	Movies	AE	-	-
153	OSN Cinema 1	Movies	AE	-	-
27	OSN Movie Festival	Movies	AE	-	-
26	OSN Movies Action	Movies	AE	OSNMoviesAction.ae	logo
18	OSN Movies Action +2	Movies	AE	-	logo
292	OSN Movies Comedy	Movies	AE	-	-
19	OSN Movies Drama	Movies	AE	-	-
25	OSN Movies HD	Movies	AE	-	-
323	OSN Movies Premiere	Movies	AE	OSNMoviesPremiere.ae	logo
412	OSN Movies Premier 2	Movies	AE	-	-
454	OSN Star Movie	Movies	AE	-	-
